key,year,package,id,title,category,primary,relations,evidence_state,plan_discrepancy_mechanism,broad_plan_involved,submission_involved,current_report_cross_document,additional_sensitivity_exclude,rationale,ambiguity,duplicate_of,reportPath,line,evidence_paths
2018::jama.2017.21906::C001,2018,jama.2017.21906,C001,In-hospital beta-blocker adjusted-risk-difference CI endpoint differs between Table 2 and narrative,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,The same named adjusted in-hospital beta-blocker result prints different upper risk-difference CI endpoints. The focal mismatch is within the main article.,,,2018/jama.2017.21906/.ai_paper_validation/final_report_1_5_2.md,36,"[""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2017.21906::C002,2018,jama.2017.21906,C002,Discharge beta-blocker adjusted point estimates differ between Table 2 and narrative,Cross-document numeric inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"Table 2 and Results narrative in the same main PDF report discharge beta-blocker RD 6.69 versus 6.63 and OR 1.48 versus 1.47 with identical intervals. Despite its original cross-document category, both discrepant occurrences are within the main article.",,,2018/jama.2017.21906/.ai_paper_validation/final_report_1_5_2.md,69,"[""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2017.21906::C003,2018,jama.2017.21906,C003,eTable 1 difference footnote names groups not displayed in the table,"Measure, label, or scale inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"eTable 1 displays complete- and missing-follow-up groups, but its difference footnote defines an intervention-minus-control contrast. The focal mismatch is within one non-plan results supplement.",,,2018/jama.2017.21906/.ai_paper_validation/final_report_1_5_2.md,102,"[""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2017.21906::C004,2018,jama.2017.21906,C004,Reported prespecified age-subgroup boundaries differ from the supplied SAP,Cross-document numeric inconsistency,P_R,"[""P_R""]",recorded_candidate,analysis_specification,True,False,True,False,"The main article calls age strata <50, 50-69, and >=70 prespecified, whereas the supplied SAP specifies two groups split at 65; this is a reported-versus-prespecified subgroup definition discrepancy.","A later or separate prespecification could authorize the published cutpoints; no such dated record is supplied. The SAP age-65 gap is contextual, not a separate counted relationship.",,2018/jama.2017.21906/.ai_paper_validation/final_report_1_5_2.md,135,"[""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2017.21906::C005,2018,jama.2017.21906,C005,The named optimal in-hospital medication composite uses different component labels across final-result tables,"Measure, label, or scale inconsistency",S_C,"[""S_C"", ""S_W""]",recorded_candidate,,False,True,True,False,The main article and results-supplement eTable 5 define the medication composite using anticoagulant; eTable 6 in the same results supplement says heparin. The cross-file component mismatch and the eTable 5/eTable 6 within-file mismatch are both substantive.,Mixed cross-file and within-supplement relationship. Heparin may exhaust the operative anticoagulant class; operational equivalence is unknown.,,2018/jama.2017.21906/.ai_paper_validation/final_report_1_5_2.md,168,"[""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2017.21906::C006,2018,jama.2017.21906,C006,Hospital-type subgroup is reported as prespecified but is absent from the supplied SAP subgroup list,Cross-document numeric inconsistency,P_R,"[""P_R""]",recorded_candidate,analysis_specification,True,False,True,False,"Hospital type (government/nonprofit/private) is presented as prespecified in the main Figure 3 but absent from the supplied SAP site-level subgroup list. This compares reported prespecification with the plan, not main versus ordinary supplementary results.",An amended or separate plan may account for hospital type; the record establishes differing lists rather than intentional substitution.,,2018/jama.2017.21906/.ai_paper_validation/final_report_1_5_2.md,201,"[""2018/jama.2017.21906/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.0156::C001,2018,jama.2018.0156,C001,Noninferiority narrative reverses the displayed bound direction,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,The narrative calls a lower CI limit greater than the threshold although the displayed lower limit is below it; the printed conclusion remains compatible with the displayed values. The focal mismatch is within the main article.,,,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,38,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.0156::C002,2018,jama.2018.0156,C002,Centre-5 pause contrast mixes a count outcome with seconds,"Measure, label, or scale inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,A contrast for the number of qualifying pauses is labelled in seconds. The focal mismatch is within the main article.,,,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,71,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.0156::C003,2018,jama.2018.0156,C003,PP day-28 survival point difference does not round from the printed inputs,Numeric or arithmetic inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"The main Table 2 PP-survival difference 0.1 does not round from its displayed 54/995 and 51/943 inputs, which yield 0.0189 percentage points. The SAP rounding sentence is a supporting convention, not a separate reported-versus-plan discrepancy.","The SAP explicitly rounds categorical percentages, not separately differences; an unreported estimator/denominator may explain the displayed 0.1.",,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,104,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2018.0156::C004,2018,jama.2018.0156,C004,PP day-28 survival confidence interval has an unresolved scale/precision inconsistency,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"The main Table 2 interval -10 to 9.7 has unresolved scale/precision relative to the same row counts, effect scale, and P=.99. SAP CI wording corroborates the general method and does not itself conflict with reported analysis.",The diagnostic Wald interval is not an authoritative replacement; exact source CI construction is absent. Distinct from C003 point-estimate arithmetic although the same row is involved.,,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,137,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
