article,finding_id,severity,category,title,artifact_tags,mechanism_tags,source_report,evidence_text
jama.2024.11057,V02,Minor,Presentation inconsistency,"eTable 4 labels motivation and confidence as median (IQR) but displays 4.1 (0.8), 4.1 (0.8), 3.2 (1.1), and 3.5 (1.1). Nearby median/IQR entries use ranges, e.g., 30.0 (27.0-30.0). D001 Table 1 reports the same measures ",Table 1/baseline; Supplementary table,Summary-statistic/unit label,jama.2024.11057/.ai_paper_validation/final_report.md,"## V02 — Presentation inconsistency — Minor - Location: D003, joi240078supp2_prod_1739900423.24574.pdf, PDF p. 12, eTable 4; comparison D001, jama_graham_2024_oi_240078_1739900423.19074.pdf, PDF p. 4, Table 1. - Compared values: eTable 4 labels motivation and confidence as median (IQR) but displays 4.1 (0.8), 4.1 (0.8), 3.2 (1.1), and 3.5 (1.1). Nearby median/IQR entries use ranges, e.g., 30.0 (27.0-30.0). D001 Table 1 reports the same measures as 4.0 (4.0-5.0) and 3.0 (3.0-4.0). - Basis: The eTable 4 format resembles mean (SD), conflicting with its label and presentation elsewhere. The intended statistic is not resolved in the supplied evidence. - Verification instruction: Check the source analysis; correct either the statistic label or the displayed values."
jama.2024.11057,V05,Minor,Presentation inconsistency,"Title: “Vaping Cessation Outcomes Among 7-month Responders.” For 30-day PPA, CCA uses responder denominators: 287/521=55.1% and 208/543=38.3%; Missing=Vaping uses randomized denominators: 287/759=37.8% and 208/744=28.0%.",Supplementary table,Denominator/population; Count/percentage arithmetic; Duplicate/transposed content; Participant-flow wording; Footnote/title/caption/legend,jama.2024.11057/.ai_paper_validation/final_report.md,"## V05 — Presentation inconsistency — Minor - Location: D003, joi240078supp2_prod_1739900423.24574.pdf, PDF p. 14, eTable 5. - Compared values: Title: “Vaping Cessation Outcomes Among 7-month Responders.” For 30-day PPA, CCA uses responder denominators: 287/521=55.1% and 208/543=38.3%; Missing=Vaping uses randomized denominators: 287/759=37.8% and 208/744=28.0%. Repeated PPA changes from 131/517=25.3% and 61/538=11.3% to 131/759=17.3% and 61/744=8.2%. - Basis: The responder-only title also covers rows calculated over the randomized population. - Verification instruction: Recalculate the four Missing=Vaping cells from stated denominators; broaden the title or explicitly identify those rows as randomized-sample analyses."
jama.2024.12829,1,Major,Statistical reporting inconsistency,3/249 (1.2%) vs 4/252 (1.6%); incidence difference −0.4 percentage points; 95% CI −2.4 to −1.7.,Other main table,Count/percentage arithmetic; CI/point-estimate compatibility; P value/test labeling; Summary-statistic/unit label,jama.2024.12829/.ai_paper_validation/final_report.md,"1. Category: Statistical reporting inconsistency Priority: Major Location: jama_sun_2024_oi_240088_1746815064.14747.pdf, PDF p8 / printed p1066, Table 2, “Any stroke outside the territory…within 1 y.” Compared values: 3/249 (1.2%) vs 4/252 (1.6%); incidence difference −0.4 percentage points; 95% CI −2.4 to −1.7. Basis: 100 × (3/249 − 4/252) = −0.382; −0.4 is outside [−2.4, −1.7]. The interval also conflicts with HR 0.76 (95% CI 0.17–3.40) and P=.72. Verification: Check the upper CI endpoint and its sign against the analysis output."
jama.2024.12829,2,Major,Cross-document inconsistency,"Figure S5 labels AMM N=252, but categories total 169+58+13+3+3+2+1=249 and percentages use 249. Scores >2 total 4 BA and 9 AMM; Table S11 defines disabling stroke as mRS >2 at 1 year and reports 6 BA and 18 AMM.",Other figure; Other main table,Denominator/population; Count/percentage arithmetic; Duplicate/transposed content; Footnote/title/caption/legend,jama.2024.12829/.ai_paper_validation/final_report.md,"2. Category: Cross-document inconsistency Priority: Major Location: joi240088supp1_prod_1746815064.21247.pdf, PDF p13, Figure S5; PDF p24, Table S11 and footnote b. Compared values: Figure S5 labels AMM N=252, but categories total 169+58+13+3+3+2+1=249 and percentages use 249. Scores >2 total 4 BA and 9 AMM; Table S11 defines disabling stroke as mRS >2 at 1 year and reports 6 BA and 18 AMM. Basis: The figure distribution conflicts with its displayed denominator and with the identically defined Table S11 outcome; three omitted AMM patients cannot reconcile 9 with 18. Verification: Sum scores 0–6 and scores 3–6 in each Figure S5 arm, then compare with arm labels and Table S11."
jama.2024.12829,3,Major,Cross-document inconsistency,Table S6 headers are 249/252 but show 9 (3.9%) vs 34 (13.5%). Main ITT Table 2 shows 11/249 (4.4%) vs 34/252 (13.5%); PPS Table S8 shows 9/233 (3.9%).,Other main table,Denominator/population; Count/percentage arithmetic; Effect measure/model label; Footnote/title/caption/legend,jama.2024.12829/.ai_paper_validation/final_report.md,"3. Category: Cross-document inconsistency Priority: Major Location: Supplement PDF p19, Table S6; main article PDF p8, Table 2; supplement PDF p21, Table S8. Compared values: Table S6 headers are 249/252 but show 9 (3.9%) vs 34 (13.5%). Main ITT Table 2 shows 11/249 (4.4%) vs 34/252 (13.5%); PPS Table S8 shows 9/233 (3.9%). Basis: 9/249=3.6%, not 3.9%; the BA value matches PPS while the header and AMM value match ITT. Verification: Identify Table S6’s intended population and confirm raw counts and denominators used for its adjusted HR."
jama.2024.12829,4,Minor,Presentation inconsistency,"Headers show 233/238, but site totals are 256+245=501 and events total 11 BA vs 34 AMM. Site percentages reconstruct denominators 138/118 and 111/134, totaling 249/252.",Other main table,Denominator/population; Count/percentage arithmetic; Footnote/title/caption/legend,jama.2024.12829/.ai_paper_validation/final_report.md,"4. Category: Presentation inconsistency Priority: Minor Location: Supplement PDF p20, Table S7; PDF p23, Table S10. Compared values: Headers show 233/238, but site totals are 256+245=501 and events total 11 BA vs 34 AMM. Site percentages reconstruct denominators 138/118 and 111/134, totaling 249/252. Basis: Table S10 identifies 249/252 as ITT and 233/238 as PPS; Table S7’s body represents ITT data under PPS-sized headers. Verification: Reconstruct each arm-by-site denominator and correct the Table S7 headers or body."
jama.2024.12829,5,Minor,Presentation inconsistency,"The PPS table headers show 249/252; values including 9 (3.9%), 33 (13.9%), 6 (2.6%), and 20 (8.4%) use 233/238.",Flow diagram; Other main table,Denominator/population; Count/percentage arithmetic; Footnote/title/caption/legend,jama.2024.12829/.ai_paper_validation/final_report.md,"5. Category: Presentation inconsistency Priority: Minor Location: Supplement PDF p21, Table S8; PDF p23, Table S10; main article PDF p5, Figure 1. Compared values: The PPS table headers show 249/252; values including 9 (3.9%), 33 (13.9%), 6 (2.6%), and 20 (8.4%) use 233/238. Basis: Table S10 and Figure 1 identify 233/238 as PPS denominators. Verification: Recalculate representative rates under both denominator pairs and confirm intended PPS headers."
jama.2024.12829,6,Minor,Presentation inconsistency,"Table S9 is titled ATS but headers show 249/252. Values including 11 (4.5%) and 34 (13.4%) use ATS denominators 247/254. The cell 8 (3.3%) fails under both 247 and 249, each rounding to 3.2%.",Other main table,Denominator/population; Count/percentage arithmetic; Footnote/title/caption/legend,jama.2024.12829/.ai_paper_validation/final_report.md,"6. Category: Presentation inconsistency Priority: Minor Location: Supplement PDF p22, Table S9; PDF p23, Table S10. Compared values: Table S9 is titled ATS but headers show 249/252. Values including 11 (4.5%) and 34 (13.4%) use ATS denominators 247/254. The cell 8 (3.3%) fails under both 247 and 249, each rounding to 3.2%. Basis: Title and body conflict with displayed headers; one percentage remains unreconciled. Verification: Confirm ATS arm sizes, correct headers, and identify the denominator used for 8 (3.3%)."
jama.2024.12829,7,Minor,Cross-document inconsistency,Main text reports 258/501 from the lead center; Table S7 assigns 256 of 501 to Beijing Tiantan and 245 elsewhere. Figure S3 reports 258 among the pre-exclusion enrollment population of 512.,Narrative/abstract; Other figure; Other main table,Denominator/population; Count/percentage arithmetic; Participant-flow wording,jama.2024.12829/.ai_paper_validation/final_report.md,"7. Category: Cross-document inconsistency Priority: Minor Location: Main article PDF p4 / printed p1062, Patient Population; supplement PDF p20, Table S7; supplement PDF p12, Figure S3. Compared values: Main text reports 258/501 from the lead center; Table S7 assigns 256 of 501 to Beijing Tiantan and 245 elsewhere. Figure S3 reports 258 among the pre-exclusion enrollment population of 512. Basis: 256+245=501; the narrative pairs the pre-exclusion center count with the post-exclusion denominator. Verification: Trace the 11 exclusions by center and confirm whether the analyzed lead-center numerator is 256 or 258."
jama.2024.12829,8,Minor,Cross-document inconsistency,Main text reports arterial perforation 0.4% and cites Table S4; Table S4 reports 0 (0.0%).,Narrative/abstract; Other main table,Count/percentage arithmetic,jama.2024.12829/.ai_paper_validation/final_report.md,"8. Category: Cross-document inconsistency Priority: Minor Location: Main article PDF p7 / printed p1065, procedural-complications paragraph; supplement PDF p17, Table S4. Compared values: Main text reports arterial perforation 0.4% and cites Table S4; Table S4 reports 0 (0.0%). Basis: The same named complication is reported as approximately one event versus zero. Verification: Compare the event record supporting the narrative with the Table S4 row and correct the count or percentage."
